2019-10-13 17:05:14.404 DEBUG --- [main] org.mybatis.spring.mapper.ClassPathMapperScanner Line:49  - Creating MapperFactoryBean with name 'userWechatMapper' and 'cn.deercare.mapper.UserWechatMapper' mapperInterface
2019-10-13 17:05:14.404 DEBUG --- [main] org.mybatis.spring.mapper.ClassPathMapperScanner Line:49  - Enabling autowire by type for MapperFactoryBean with name 'userWechatMapper'.
2019-10-13 17:05:14.415 WARN  --- [main] org.mybatis.spring.mapper.ClassPathMapperScanner Line:44  - No MyBatis mapper was found in '[com.deercare.mapper]' package. Please check your configuration.
2019-10-13 17:05:15.120 INFO  --- [main] org.apache.coyote.http11.Http11NioProtocol Line:173 - Initializing ProtocolHandler ["http-nio-80"]
2019-10-13 17:05:15.129 INFO  --- [main] org.apache.catalina.core.StandardService Line:173 - Starting service [Tomcat]
2019-10-13 17:05:15.130 INFO  --- [main] org.apache.catalina.core.StandardEngine Line:173 - Starting Servlet engine: [Apache Tomcat/9.0.24]
2019-10-13 17:05:15.240 INFO  --- [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Line:173 - Initializing Spring embedded WebApplicationContext
2019-10-13 17:05:15.306 DEBUG --- [main] com.github.xiaoymin.swaggerbootstrapui.configuration.SecurityConfiguration Line:39  - swagger.production:null
2019-10-13 17:05:15.724 DEBUG --- [main] com.baomidou.mybatisplus.extension.spring.MybatisSqlSessionFactoryBean Line:49  - Registered plugin: 'com.github.pagehelper.PageHelper@19c1820d'
2019-10-13 17:05:15.915 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.insert
2019-10-13 17:05:15.921 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.delete
2019-10-13 17:05:15.923 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.deleteByMap
2019-10-13 17:05:15.948 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.deleteById
2019-10-13 17:05:15.951 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.deleteBatchIds
2019-10-13 17:05:15.957 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.update
2019-10-13 17:05:15.960 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.updateById
2019-10-13 17:05:15.961 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectById
2019-10-13 17:05:15.963 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectBatchIds
2019-10-13 17:05:15.965 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectByMap
2019-10-13 17:05:15.968 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectOne
2019-10-13 17:05:15.972 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectCount
2019-10-13 17:05:15.975 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectMaps
2019-10-13 17:05:15.980 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectMapsPage
2019-10-13 17:05:15.982 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectObjs
2019-10-13 17:05:15.987 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectList
2019-10-13 17:05:15.991 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderMapper.selectPage
2019-10-13 17:05:15.993 DEBUG --- [main] com.baomidou.mybatisplus.extension.spring.MybatisSqlSessionFactoryBean Line:49  - Parsed mapper file: 'file [/Users/jiangyuan/JAVA/git/crowdfunding/crowdfunding-core/target/classes/mapping/OrderMapper.xml]'
2019-10-13 17:05:16.007 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.insert
2019-10-13 17:05:16.009 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.delete
2019-10-13 17:05:16.011 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.deleteByMap
2019-10-13 17:05:16.013 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.deleteById
2019-10-13 17:05:16.014 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.deleteBatchIds
2019-10-13 17:05:16.016 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.update
2019-10-13 17:05:16.018 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.updateById
2019-10-13 17:05:16.019 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectById
2019-10-13 17:05:16.021 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectBatchIds
2019-10-13 17:05:16.023 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectByMap
2019-10-13 17:05:16.025 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectOne
2019-10-13 17:05:16.027 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectCount
2019-10-13 17:05:16.029 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectMaps
2019-10-13 17:05:16.031 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectMapsPage
2019-10-13 17:05:16.033 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectObjs
2019-10-13 17:05:16.035 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectList
2019-10-13 17:05:16.038 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.OrderWechatMapper.selectPage
2019-10-13 17:05:16.039 DEBUG --- [main] com.baomidou.mybatisplus.extension.spring.MybatisSqlSessionFactoryBean Line:49  - Parsed mapper file: 'file [/Users/jiangyuan/JAVA/git/crowdfunding/crowdfunding-core/target/classes/mapping/OrderWechatMapper.xml]'
2019-10-13 17:05:16.045 DEBUG --- [main] com.baomidou.mybatisplus.extension.spring.MybatisSqlSessionFactoryBean Line:49  - Parsed mapper file: 'file [/Users/jiangyuan/JAVA/git/crowdfunding/crowdfunding-core/target/classes/mapping/ProjectHotelMapper.xml]'
2019-10-13 17:05:16.053 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.insert
2019-10-13 17:05:16.054 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.delete
2019-10-13 17:05:16.057 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.deleteByMap
2019-10-13 17:05:16.059 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.deleteById
2019-10-13 17:05:16.060 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.deleteBatchIds
2019-10-13 17:05:16.062 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.update
2019-10-13 17:05:16.063 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.updateById
2019-10-13 17:05:16.064 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectById
2019-10-13 17:05:16.067 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectBatchIds
2019-10-13 17:05:16.068 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectByMap
2019-10-13 17:05:16.070 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectOne
2019-10-13 17:05:16.071 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectCount
2019-10-13 17:05:16.073 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectMaps
2019-10-13 17:05:16.075 DEBUG --- [main] com.baomidou.mybatisplus.core.MybatisConfiguration Line:80  - addMappedStatement: cn.deercare.mapper.ProjectIncomeMapper.selectMapsPage
